firstName,lastName,email,phone,address
Ahmet,Yılmaz,ahmet.yilmaz@mail.com,"+90 532 111 22 33","İstanbul, Kadıköy"
Mehmet,Ali,"","05321112233",Ankara
Ayşe,KARA,ayse.kara@mail,"5321112233",""
Hasan,Demir,hasan.demir@mail.com,"+90532 1112233",İzmir
Hakan A.,Çelik,hakan.celik@gmail.com,"905321112233",İstanbul
Fatma Nur,Yilmaz,"","0 532 111 22 33",Adana
fatma nur,yilmaz,fatma@mail.com,"+90 (532) 111 2233",Adana
Doğan,"",dogan@mail.com,"532—111—2233",Bursa
Elif,"",elif@mail.com,"1112233",İstanbul
Ali,Öztürk,"","+90 555 444 3322",""
Ali,Ozturk,ali.ozturk@mail.com,"+90 555 444 3322",""
Merve,Kaya,mervekaya@mail.com,"0532-111-22-33",Manisa
Murat,Şahin,"","+90 532 1112233",Konya
Ahmet,Yılmaz,ahmet.yilmaz@mail.com,"+905321112233",İstanbul
Caner,Taş,caner.tas@mail.com,"0532 111",""
Ceren,"",ceren@@mail.com,"+90 5321112233",İstanbul
Yusuf,Demİr,yusuf.demir@mail.com,"0(532)1112233",Hatay
Esra,Arslan,esra_arslanmail.com,"+90-532-111-22-33",Antalya
Muhammed,Ak,"","5321112233",İstanbul
M.,Demir,mdemir@mail.com,"5321112233",""
